Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	0	606	2948	24.0	24.0	459.0	90.0	0.98794985	0.011381723	0.00045842	0.00021009895
1	1	82	2906	18.0	18.0	268.0	90.0	0.96876186	0.028077295	0.0016763791	0.0014844192
1	2	1044	2883	8.602	19.416	108.5	34.695	0.96631914	0.022939203	0.010467859	0.00027384484
1	3	1759	2844	11.281	20.131	156.5	14.036	0.97785085	0.020326398	0.0014523626	0.0003703586
1	4	3054	2835	19.0	19.0	285.0	90.0	0.98975766	0.007972202	0.000570991	0.0016992174
1	5	275	2834	24.824	47.447	874.5	8.13	0.85798705	0.08270474	0.011857554	0.047450636
1	6	357	2804	24.042	25.456	476.0	45.0	0.9778897	0.021550607	0.00040794606	0.00015182959
1	7	2607	2795	12.659	21.148	212.5	7.125	0.8775249	0.029566713	0.09205639	0.00085194
1	8	4529	2770	20.125	24.597	375.0	63.435	0.7432809	0.005446484	0.25036085	0.0009118364
1	9	485	2766	25.0	28.0	552.5	90.0	0.99276227	0.006957736	0.00022298774	5.702291e-05
1	10	4932	2739	21.36	46.981	536.5	16.26	0.31432465	0.0032893883	0.6811489	0.0012370643
1	11	1215	2733	13.0	13.0	132.5	90.0	0.89635384	0.09686827	0.0046293945	0.002148516
1	12	3435	2717	14.983	16.325	168.5	63.435	0.89459324	0.030069513	0.07443412	0.00090316375
1	13	3195	2677	22.627	23.345	428.5	45.0	0.9962573	0.0029810262	0.00015492114	0.0006067598
1	14	181	2665	24.042	25.456	492.5	45.0	0.94113463	0.056868006	0.0012937837	0.00070357637
1	15	4804	2641	8.0	20.0	102.5	90.0	0.54703194	0.0014191918	0.45068708	0.0008618401
1	16	4459	2559	10.0	18.0	138.5	90.0	0.96802676	0.013044666	0.018798018	0.00013055847
1	17	5350	2487	8.902	21.006	101.0	38.66	0.35772502	0.0006571573	0.6404835	0.0011342679
1	18	289	2415	24.042	25.456	479.0	45.0	0.9630523	0.0345778	0.0009881674	0.0013817963
1	19	4675	2407	29.698	30.414	700.0	45.0	0.9964238	0.0018229152	0.00029525987	0.001457983
1	20	2488	2394	12.349	21.829	159.5	68.962	0.86467266	0.040593058	0.09359883	0.0011354341
1	21	2712	2384	16.155	30.083	347.5	68.199	0.88718307	0.033554915	0.07844933	0.0008127351
1	22	4348	2374	21.213	21.932	359.5	45.0	0.99277824	0.0054083513	0.0004928109	0.0013206307
1	23	76	2316	24.698	25.632	499.0	21.801	0.75080353	0.2473193	0.0015748402	0.00030237233
1	24	2590	2288	11.543	57.055	311.5	87.839	0.5617719	0.057066426	0.37646484	0.0046968316
1	25	4469	2281	24.042	24.042	433.5	45.0	0.9821536	0.0102004185	0.0012764046	0.0063696313
1	26	2185	2257	10.0	12.0	91.5	90.0	0.9718156	0.0023303893	0.025686288	0.0001678186
1	27	456	2201	24.042	26.87	494.5	45.0	0.9364512	0.058838554	0.0020026523	0.0027076548
1	28	4238	2180	22.627	22.627	404.5	45.0	0.9998036	0.0001560085	6.6117045e-06	3.389161e-05
1	29	829	2149	11.0	19.0	167.0	90.0	0.68058497	0.019172544	0.29855886	0.0016835637
1	30	5382	2141	20.427	31.847	445.0	21.801	0.55753607	0.07735209	0.35773265	0.007379207
1	31	569	2148	28.284	53.74	1007.0	45.0	0.9678247	0.03124842	0.0004592522	0.00046752562
1	32	3305	2126	19.092	19.092	287.0	45.0	0.9987313	0.0010404289	0.00013302003	9.527107e-05
1	33	4682	2094	25.52	28.43	518.0	33.69	0.99803513	0.00063525815	0.001105735	0.00022382796
1	34	4371	2065	22.627	24.042	414.5	45.0	0.99297124	0.0044843107	0.0003851625	0.002159263
1	35	3811	1971	21.0	22.0	364.5	90.0	0.99988306	8.597036e-05	1.9657642e-05	1.1293711e-05
1	36	314	1958	16.0	20.0	242.5	90.0	0.87367755	0.114415005	0.011013601	0.0008938551
1	37	4477	1945	26.5	30.794	611.5	57.995	0.99944574	0.00041673763	7.205e-05	6.542496e-05
1	38	2144	1936	26.87	26.87	569.0	45.0	0.9982993	0.0014530502	0.000108902146	0.00013876412
1	39	3014	1924	11.402	19.416	143.0	14.036	0.9666199	0.013485259	0.018146573	0.0017482521
1	40	3117	1917	23.0	24.0	430.5	90.0	0.9945034	0.0049003647	0.00035146542	0.00024481595
1	41	1336	1904	11.236	15.532	131.5	33.69	0.9909016	0.0077674016	0.0009525636	0.0003784634
1	42	216	1873	19.105	21.213	304.5	45.0	0.6578186	0.33287024	0.008782139	0.00052904006
1	43	489	1865	13.0	16.0	167.0	90.0	0.9470571	0.012645625	0.036775187	0.0035220357
1	44	3260	1853	21.92	23.335	413.0	45.0	0.9969951	0.0023544896	7.1910705e-05	0.00057852204
1	45	4834	1828	11.0	25.0	220.0	90.0	0.45326462	0.0061922693	0.5344511	0.0060919463
1	46	4289	1828	21.92	23.335	400.0	45.0	0.9984114	0.0015035495	4.941839e-05	3.5663197e-05
1	47	2306	1800	16.101	29.602	296.5	53.13	0.83363086	0.09813494	0.0658237	0.0024105017
1	48	139	1794	24.749	26.163	486.0	45.0	0.7537737	0.2438099	0.0016494481	0.00076697354
1	49	4932	1776	16.07	23.585	263.5	85.914	0.5441519	0.0011645308	0.43898827	0.015695304
1	50	2495	1722	9.0	13.0	95.0	90.0	0.99259865	0.0040332405	0.003083133	0.00028500805
1	51	2683	1712	25.06	28.653	573.5	61.699	0.8355676	0.011030007	0.15103182	0.0023705398
1	52	635	1627	15.556	18.385	225.5	45.0	0.6562394	0.3214143	0.019952342	0.0023938832
1	53	3839	1615	21.401	22.804	399.0	36.87	0.9967283	0.0021410787	0.00084760686	0.0002829529
1	54	370	1572	27.577	28.991	639.0	45.0	0.9954438	0.004454465	4.2928754e-05	5.8764406e-05
1	55	3915	1533	14.534	51.061	373.0	87.064	0.40839007	0.3814863	0.20748034	0.002643333
1	56	4146	1475	21.0	22.0	365.5	90.0	0.99838924	0.0015272571	4.3964013e-05	3.9658637e-05
1	57	52	1359	21.36	24.274	408.5	57.995	0.85697	0.13857923	0.0037530188	0.0006977466
1	58	2890	1330	26.0	37.0	719.5	90.0	0.9997867	0.00016459519	9.614051e-06	3.903722e-05
1	59	3787	1308	25.0	25.0	463.5	90.0	0.9994661	0.00049508805	1.33130025e-05	2.5433244e-05
1	60	3952	1274	13.285	24.99	251.0	70.017	0.76612496	0.010937382	0.22229417	0.00064345857
1	61	3939	1200	27.189	28.727	596.0	32.005	0.9972784	0.0019907549	0.00016965019	0.000561231
1	62	4101	1184	24.0	25.0	467.0	90.0	0.9987551	0.0011852763	2.3255092e-05	3.640101e-05
1	63	711	1080	12.0	14.0	130.0	90.0	0.66773105	0.009357548	0.32171354	0.0011979295
1	64	4186	1085	23.0	24.0	420.0	90.0	0.9989557	0.00044721353	1.4713589e-05	0.000582236
1	65	430	1030	16.263	23.335	292.0	45.0	0.7830208	0.16270518	0.05013117	0.004142869
1	66	4339	977	24.749	27.577	515.0	45.0	0.9943983	0.0025897664	0.00035958245	0.0026523203
1	67	3542	945	24.413	25.807	482.5	35.538	0.99361753	0.005494045	0.0003918703	0.00049664936
1	68	273	928	27.0	27.0	553.5	90.0	0.8876085	0.11140313	0.00018147231	0.0008068887
1	69	2972	914	13.892	35.847	359.0	59.036	0.31945506	0.032252304	0.6452028	0.0030898708
1	70	2110	891	11.102	14.637	115.5	8.13	0.9518802	0.0010874125	0.046966773	6.560501e-05
1	71	751	844	26.0	27.0	553.0	90.0	0.9932968	0.0061058886	4.9678314e-05	0.0005476194
1	72	653	829	17.0	17.0	237.5	90.0	0.8472542	0.1372758	0.014949108	0.00052086473
1	73	3672	807	26.163	30.406	617.0	45.0	0.999658	0.00024401267	4.4448734e-05	5.357702e-05
1	74	3188	779	26.0	28.0	591.0	90.0	0.9997863	0.00012841415	1.9480936e-05	6.580444e-05
1	75	341	736	22.627	25.456	476.5	45.0	0.97091156	0.028002867	0.0008369656	0.00024868327
1	76	2543	680	11.314	11.314	90.5	45.0	0.9739295	0.004422144	0.020944778	0.0007035261
1	77	2131	676	22.627	26.87	453.5	45.0	0.89551264	0.10216228	0.0014903732	0.00083470636
1	78	5178	641	10.512	25.739	142.5	66.038	0.45390922	0.00063245127	0.54493165	0.0005266958
1	79	3161	603	15.0	16.0	191.5	90.0	0.9989711	0.000481668	5.8031994e-05	0.00048919854
1	80	854	593	25.0	28.0	556.5	90.0	0.9973423	0.0024533118	7.647982e-05	0.00012799972
1	81	2030	581	24.459	39.373	546.5	40.601	0.6101801	0.09718893	0.29106367	0.0015672842
1	82	335	572	20.248	27.459	449.5	57.265	0.9462648	0.016530544	0.03568517	0.0015194406
1	83	551	568	27.203	30.0	623.5	53.13	0.9973253	0.0023680723	4.1213807e-05	0.00026535345
1	84	4138	540	25.715	28.623	589.0	26.565	0.99912196	0.00041250093	3.328636e-05	0.00043227026
1	85	349	489	19.0	23.0	355.5	90.0	0.7963105	0.1994393	0.0025221135	0.0017280928
1	86	984	486	26.0	29.0	601.0	90.0	0.99828786	0.0015679703	2.4373832e-05	0.000119770884
1	87	5270	450	9.0	15.0	116.5	90.0	0.24994749	0.0023154134	0.7460716	0.0016655142
1	88	3660	342	27.0	30.0	628.0	90.0	0.9759211	0.01978395	0.00044596777	0.003848973
1	89	4189	351	35.228	48.26	1054.0	6.116	0.9997106	0.0001418395	2.0183106e-05	0.00012734323
1	90	2756	330	27.0	29.0	617.0	90.0	0.99932146	0.0005071315	3.2116594e-05	0.00013928997
1	91	2979	321	50.359	59.414	2138.5	82.875	0.62626296	0.008909989	0.36258915	0.0022378156
1	92	217	253	21.0	26.0	422.5	90.0	0.9822449	0.01712004	0.00040688348	0.00022816063
1	93	3627	221	26.0	38.0	743.0	90.0	0.9970325	0.002298849	6.5275362e-06	0.000662047
1	94	466	195	23.335	23.335	421.0	45.0	0.64059293	0.35127667	0.0075808926	0.00054956536
1	95	4422	140	18.0	19.0	237.0	90.0	0.52589726	0.001509393	0.47206482	0.00052860973
1	96	2306	113	10.112	14.637	121.5	8.13	0.53849614	0.0043983688	0.45630857	0.00079689256
1	97	155	60	18.0	21.0	298.0	90.0	0.9966691	0.0031947063	6.405516e-05	7.2152245e-05
2	4	3054	2835	19.0	19.0	294.0	90.0	0.9942781	0.005555332	7.085659e-05	9.56809e-05
2	36	314	1958	16.0	20.0	245.0	90.0	0.6368547	0.33262786	0.030033143	0.00048424565
2	41	1336	1904	11.0	15.0	128.0	90.0	0.9987766	0.00087231974	2.7925054e-05	0.000323031
2	70	2110	891	11.0	14.0	115.5	90.0	0.81616	0.0076256865	0.17598937	0.00022482242
2	74	3188	779	26.0	28.0	584.0	90.0	0.9990607	0.0006675456	0.00023354133	3.8175473e-05
2	79	3161	603	15.0	16.0	190.0	90.0	0.9994986	0.0004447319	4.340727e-05	1.3331171e-05
2	86	984	486	26.0	29.0	608.5	90.0	0.9957355	0.004036251	4.10439e-05	0.00018713197
2	92	217	253	21.0	26.0	420.0	90.0	0.8059893	0.19174588	0.0009647666	0.0013000827
2	0	606	2948	24.042	24.042	451.5	45.0	0.97999465	0.019507498	0.00015498087	0.00034281393
2	80	854	593	25.179	28.16	560.0	6.34	0.9947299	0.004808158	0.000208539	0.00025334134
2	23	76	2316	24.042	25.298	487.0	18.435	0.9939744	0.005984074	2.8026334e-05	1.3519113e-05
2	11	1215	2733	12.728	12.728	131.5	45.0	0.8475608	0.14681254	0.004581352	0.0010452347
2	14	181	2665	24.042	25.456	474.0	45.0	0.95111966	0.04722405	0.0015741627	8.213595e-05
2	18	289	2415	24.042	25.456	476.0	45.0	0.9744689	0.02509172	0.00015340696	0.00028602142
2	94	466	195	23.335	23.335	420.0	45.0	0.7972052	0.20192878	0.00048152736	0.0003843786
2	25	4469	2281	23.436	24.13	421.5	33.69	0.9849126	0.013086035	0.00040900861	0.0015923395
2	37	4477	1945	25.456	29.698	616.5	45.0	0.9999012	4.250325e-05	5.0626102e-05	5.684139e-06
2	42	216	1873	18.385	21.213	303.0	45.0	0.95335156	0.044690944	0.0017622225	0.00019522998
2	73	3672	807	26.627	30.232	619.0	33.69	0.9993412	0.00056729786	2.0506624e-05	7.103379e-05
2	40	3117	1917	23.335	23.335	429.0	45.0	0.9954202	0.004437391	3.930868e-05	0.00010319959
2	31	569	2148	28.284	53.74	1007.5	45.0	0.98646194	0.012781973	0.00036868118	0.0003874293
2	32	3305	2126	19.105	19.799	289.5	45.0	0.99681026	0.002923691	0.00014923674	0.00011684495
2	28	4238	2180	22.627	22.627	412.0	45.0	0.99981695	0.0001241985	5.3267246e-05	5.6559325e-06
2	56	4146	1475	20.125	22.361	365.0	26.565	0.99958223	0.0004055706	5.788236e-06	6.384182e-06
