Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	62	1181	458	10.0	13.0	99.5	90.0	0.5739718	0.001286087	0.42427757	0.000464565
1	63	3665	403	11.0	18.0	111.5	90.0	0.5921133	0.0059115863	0.4015294	0.00044570956
1	64	1299	385	14.142	26.87	265.0	45.0	0.57986355	0.0056737387	0.41334596	0.0011167722
1	65	1237	314	11.18	16.553	133.5	26.565	0.7736073	0.0008253282	0.22532384	0.00024349424
1	66	1622	341	24.52	107.011	1973.5	0.699	0.07953574	0.041155472	0.85772735	0.021581408
1	67	629	242	15.133	31.401	264.0	9.462	0.3843646	0.008330625	0.6059653	0.0013395193
1	68	5229	231	49.247	52.775	1734.0	41.634	0.8051158	0.024872808	0.16940846	0.0006029483
1	69	814	139	9.962	14.705	90.5	18.435	0.34995455	0.0020745199	0.6470056	0.00096529815
1	70	3935	139	10.0	17.804	102.0	53.13	0.23807505	0.00019717585	0.76119924	0.0005285705
1	71	2623	114	40.14	63.303	1748.5	76.43	0.62141126	0.05871511	0.311475	0.008398565
1	72	4044	95	11.402	24.207	121.5	51.843	0.3548742	0.0010789506	0.64325786	0.00078896433
2	46	2377	962	10.0	11.0	97.5	90.0	0.99829346	0.0004142873	0.0012843744	7.860202e-06
2	43	936	1019	10.124	18.722	126.5	33.69	0.95625955	0.00094044744	0.042683717	0.00011625491
2	71	2623	114	40.003	63.72	1758.0	71.565	0.5102846	0.101601124	0.37352157	0.014592715
2	24	260	1671	13.892	18.358	184.0	29.745	0.9291674	0.0066169305	0.06410913	0.00010648384
2	3	3249	2731	13.0	54.0	495.5	90.0	0.77593637	0.13021263	0.091032624	0.0028182867
2	6	852	2603	14.0	20.0	222.0	90.0	0.32831106	0.6655312	0.005612205	0.0005455752
2	18	821	1962	14.0	15.0	169.5	90.0	0.9984017	0.00031784075	0.0012347035	4.5768258e-05
2	42	4443	1117	27.0	30.0	632.0	90.0	0.84545356	0.12328562	0.029114224	0.0021465584
2	52	160	856	27.0	33.0	685.0	90.0	0.14910217	0.83986235	0.0038722376	0.007163193
2	59	748	604	12.0	15.0	143.0	90.0	0.9505134	0.0015795486	0.04783148	7.5551485e-05
2	61	2055	573	12.0	17.0	170.0	90.0	0.975465	0.01941725	0.00025792053	0.0048598666
2	26	114	1632	17.889	23.707	324.0	63.435	0.82386625	0.16872542	0.0071922303	0.00021610061
2	20	1768	1973	59.228	114.14	3604.5	78.69	0.28025308	0.052692883	0.54927826	0.1177758
2	9	1770	2383	15.0	19.0	227.0	90.0	0.8673893	0.0011690257	0.1312946	0.00014702535
2	32	474	1396	12.0	14.0	128.5	90.0	0.9881869	0.00087342225	0.010855231	8.441897e-05
2	56	4107	649	18.0	21.0	296.0	90.0	0.9551262	0.0037166819	0.040961422	0.00019561186
2	13	1205	2298	35.781	68.922	1594.5	56.31	0.6590809	0.003046407	0.33557603	0.0022966415
2	49	92	941	24.52	71.703	1107.5	15.803	0.23757474	0.097042814	0.6373235	0.028058954
2	10	4412	2368	17.0	20.0	265.5	90.0	0.9106693	0.011760966	0.07667385	0.0008958494
2	36	2300	1251	9.0	16.0	108.0	90.0	0.97110784	0.000694128	0.028034998	0.00016316217
2	37	635	1249	12.042	15.556	138.5	45.0	0.9424989	0.0014264599	0.056020487	5.412372e-05
2	34	4284	1299	29.72	38.344	830.0	12.529	0.52933186	0.13251755	0.33560297	0.0025475489
2	47	3998	966	33.144	44.323	1151.5	78.69	0.9907482	0.007624494	0.00014983852	0.0014774224
2	0	5081	2942	44.0	55.0	1909.0	90.0	0.93041223	0.023855714	0.040527705	0.0052043847
2	21	3388	1849	13.416	19.235	192.0	63.435	0.7992866	0.0036167777	0.19688065	0.00021599206
2	39	4289	1164	8.544	18.385	118.5	68.199	0.88700926	0.00038804166	0.11244716	0.00015554912
2	41	482	1114	12.042	30.067	255.0	86.186	0.35775632	0.005715411	0.6355389	0.0009893604
