Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	0	1037	3018	26.0	29.0	613.0	90.0	0.98687255	0.011495518	0.0003310396	0.0013008692
1	1	1958	3003	23.0	25.0	460.0	90.0	0.99144626	0.007944382	0.00026268518	0.00034663532
1	2	3404	3001	23.0	24.0	416.5	90.0	0.99800366	0.0018771444	6.0841438e-05	5.845921e-05
1	3	2044	2934	23.585	25.125	466.0	5.711	0.9980971	0.0018162194	1.882847e-05	6.7842084e-05
1	4	193	2940	33.061	48.094	1147.5	3.366	0.60594183	0.29808477	0.090907164	0.0050661876
1	5	2735	2925	29.698	32.527	743.0	45.0	0.9988997	0.0010204266	3.092376e-05	4.8941765e-05
1	6	3408	2893	22.0	23.0	396.0	90.0	0.99924517	0.00067282293	2.765272e-05	5.4376476e-05
1	7	337	2884	17.443	19.007	255.5	63.435	0.90688664	0.0026721575	0.09032715	0.00011398938
1	8	2428	2848	33.941	35.355	948.0	45.0	0.9995003	0.0004363683	2.1011008e-05	4.2340675e-05
1	9	3136	2817	15.66	37.165	398.0	17.103	0.63034105	0.0146355415	0.35395098	0.001072486
1	10	474	2814	16.0	39.0	440.0	90.0	0.6079102	0.009664815	0.3812166	0.0012083512
1	11	212	2804	23.717	33.204	584.0	18.435	0.8697384	0.12195806	0.007907764	0.00039573185
1	12	2510	2799	24.749	24.749	481.0	45.0	0.9995235	0.0004193656	9.554101e-06	4.758386e-05
1	13	4014	2794	31.0	35.0	858.5	90.0	0.9969633	0.002333119	0.0006519929	5.1581137e-05
1	14	1956	2765	18.795	33.365	430.5	60.255	0.89410436	0.044631157	0.0513959	0.00986861
1	15	3528	2757	12.728	12.728	122.5	45.0	0.99930596	0.0005132791	0.00015736693	2.3431186e-05
1	16	2716	2717	10.0	11.0	92.5	90.0	0.805709	0.011186849	0.1821796	0.00092450646
1	17	3291	2716	11.0	13.0	113.0	90.0	0.75951904	0.010920903	0.22843097	0.0011291115
1	18	3958	2707	28.0	29.0	654.5	90.0	0.9995322	0.00043403497	7.83976e-06	2.5873118e-05
1	19	1798	2624	16.553	17.889	236.0	26.565	0.99891996	0.0010213766	5.2316078e-05	6.36269e-06
1	20	119	2590	6.801	24.13	99.5	34.509	0.63784707	0.04682265	0.31431746	0.0010127618
1	21	2210	2621	32.249	68.964	1096.5	29.476	0.6057244	0.3302537	0.053480458	0.010541417
