Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	0	3549	3009	9.0	19.0	117.5	90.0	0.7465646	0.006413848	0.24680467	0.00021681817
1	1	674	2979	32.527	35.355	907.0	45.0	0.9969927	0.0029147957	1.584576e-05	7.6687196e-05
1	2	2775	2942	9.899	22.627	187.5	45.0	0.6742569	0.08283949	0.24099407	0.0019094563
1	3	2357	2899	28.258	29.47	559.5	75.964	0.8027417	0.030814037	0.16459328	0.0018510096
1	4	319	2858	22.0	42.0	476.5	90.0	0.81656855	0.056183945	0.12575339	0.0014941134
1	5	1327	2862	33.0	33.0	880.5	90.0	0.998326	0.00117043	0.00013239072	0.00037118033
1	6	529	2812	33.234	33.234	861.0	45.0	0.99807537	0.0018524079	4.619626e-05	2.600925e-05
1	7	204	2793	33.0	35.0	920.0	90.0	0.99464357	0.005153779	0.000107588865	9.50572e-05
1	8	4539	2769	29.0	36.0	788.0	90.0	0.96478456	0.032961365	0.0011080144	0.0011460182
1	9	1342	2660	29.698	30.414	710.5	45.0	0.99944836	0.0004958322	3.290752e-05	2.29231e-05
1	10	1173	2629	24.083	39.205	482.0	5.356	0.5947621	0.020556677	0.38228935	0.0023918743
1	11	4904	2541	17.671	49.641	584.5	26.565	0.54321826	0.00812501	0.44767538	0.000981375
1	12	4374	2499	11.0	13.0	105.0	90.0	0.79668087	0.0229983	0.1783067	0.002014119
1	13	1172	2494	30.0	31.0	736.0	90.0	0.99666154	0.0032125455	2.4944284e-05	0.00010099419
1	14	2830	2464	30.0	31.0	750.5	90.0	0.9982869	0.0016702868	1.2842109e-05	2.9984412e-05
1	15	3762	2399	27.0	31.0	678.0	90.0	0.992861	0.006948203	5.958276e-05	0.00013125502
1	16	2073	2350	12.748	18.561	177.5	63.435	0.87008053	0.009400854	0.12003109	0.00048760683
1	17	4944	2354	34.0	43.0	1127.5	90.0	0.99991655	5.2688276e-05	2.1759259e-05	8.939952e-06
1	18	54	2292	33.0	34.0	894.5	90.0	0.98018885	0.01854826	0.00044843176	0.00081446045
1	19	376	2278	36.77	36.77	1056.0	45.0	0.97578627	0.023431938	6.801881e-05	0.00071372173
1	20	1616	2259	16.263	19.092	206.5	45.0	0.52349204	0.012956026	0.46310648	0.0004454471
1	21	1205	2241	15.0	17.0	213.5	90.0	0.90190583	0.003933885	0.09402171	0.00013855961
1	22	4375	2183	26.196	30.923	647.5	75.964	0.9994562	0.00033177063	6.5041895e-06	0.0002054672
1	23	5272	2150	12.0	17.0	138.0	90.0	0.62131333	0.0021654798	0.37575123	0.0007699642
1	24	3821	2152	28.0	32.0	695.0	90.0	0.9999678	2.7596398e-05	3.0221445e-06	1.6584972e-06
1	25	3596	2123	8.732	44.037	251.5	12.529	0.49648374	0.018240498	0.4838901	0.0013856922
1	26	678	2118	36.069	36.77	1045.0	45.0	0.998353	0.0010137721	7.931951e-05	0.00055401085
1	27	2434	2102	11.314	12.728	111.5	45.0	0.4453526	0.009588656	0.54394895	0.0011098817
1	28	237	2109	37.583	37.583	1136.0	49.399	0.9473062	0.0521644	0.00039506718	0.00013432026
1	29	5400	2071	13.0	20.0	180.0	90.0	0.487403	0.00062155194	0.5117633	0.00021225735
