Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	0	918	3004	26.571	28.792	582.0	70.017	0.99618334	0.002282527	0.00021468835	0.0013194383
1	1	3339	3005	23.005	38.578	666.5	42.709	0.99491644	0.0027196244	0.0016924274	0.00067143916
1	2	4873	2984	11.281	33.245	238.0	12.529	0.21658878	0.00014380176	0.7828036	0.00046375397
1	3	3198	3001	37.964	84.89	1696.0	50.572	0.7157402	0.022876851	0.25910863	0.0022743356
1	4	4595	3003	34.928	165.424	2673.5	13.163	0.9727746	0.0014697544	0.007297699	0.018457966
1	5	2568	2964	18.0	19.0	281.0	90.0	0.9974613	0.0013433872	0.00014481162	0.001050418
1	6	4120	2958	21.915	23.436	411.5	33.69	0.99971503	0.00013073655	9.946153e-06	0.00014434813
1	7	4533	2890	32.985	36.139	912.5	14.036	0.9988669	9.610095e-05	4.63965e-05	0.0009906254
1	8	2729	2872	24.0	24.0	454.0	90.0	0.9817374	0.017775534	0.000102175494	0.0003849223
1	9	1147	2840	23.0	23.0	443.5	90.0	0.996296	0.0031472289	7.6738106e-05	0.00048006693
1	10	5244	2790	17.0	20.0	186.5	90.0	0.10271748	0.0058846483	0.88975996	0.0016378843
1	11	1525	2776	10.0	15.0	120.0	90.0	0.97422314	0.016941112	0.0062853647	0.0025502844
1	12	184	2754	23.087	24.352	442.0	71.565	0.9562413	0.04150721	0.0019242837	0.00032710386
1	13	863	2736	26.005	28.901	548.0	52.125	0.9872112	0.011150955	0.00021825857	0.0014195166
1	14	4375	2727	40.0	41.0	1234.0	90.0	0.99650407	0.0013646976	0.002028376	0.0001028924
1	15	5035	2702	13.0	22.0	187.0	90.0	0.2448273	0.00068890915	0.75367826	0.0008055243
1	16	5327	2672	9.0	27.0	117.0	90.0	0.14712119	0.0018699362	0.8487496	0.0022593003
1	17	2889	2664	11.0	18.0	148.0	90.0	0.9884731	0.0076110596	0.0038085487	0.00010722776
1	18	2650	2654	11.0	14.0	123.0	90.0	0.5295276	0.023070732	0.445761	0.0016406464
