Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	60	4653	1074	22.0	23.0	225.0	90.0	0.59196055	6.624524e-05	0.40763867	0.0003345494
1	61	4417	1035	13.647	32.206	191.5	61.928	0.39611298	0.0066539906	0.59597516	0.0012578006
1	62	1174	1014	11.18	17.0	134.5	26.565	0.72229105	0.00018478643	0.2773017	0.00022245031
1	63	1741	972	97.521	516.055	6010.5	0.791	0.0015771533	0.00012098204	0.42211074	0.5761911
1	64	2085	882	11.0	12.0	101.5	90.0	0.9982317	0.00043776832	0.0013239544	6.589007e-06
1	65	2048	772	8.544	44.272	261.5	71.565	0.17375003	0.008700448	0.81591874	0.0016308121
1	66	963	727	15.692	18.581	147.5	24.444	0.54032695	0.00020728528	0.45911828	0.00034751397
1	67	2819	646	33.121	38.949	961.5	60.945	0.9958721	0.002379844	2.0537069e-05	0.0017275716
1	68	2969	545	18.0	23.0	324.5	90.0	0.9969313	0.0012599627	0.0017669899	4.1770178e-05
1	69	1204	532	23.0	27.0	384.5	90.0	0.40599492	0.0003487585	0.59309787	0.00055840914
1	70	1870	425	11.314	19.799	137.5	45.0	0.38964036	0.0006824829	0.60833514	0.0013420183
1	71	5297	391	12.748	13.73	93.0	78.69	0.3509391	0.0012536049	0.64626896	0.0015383294
1	72	3428	387	23.712	66.138	909.0	46.79	0.8957401	0.0697155	0.03283173	0.0017126373
1	73	2691	273	6.403	29.069	136.5	40.914	0.38214853	0.0066087223	0.610767	0.00047573997
1	74	2176	270	28.04	30.566	670.5	3.366	0.6241105	0.37108353	0.0022733875	0.0025326267
1	75	2369	254	10.77	13.928	108.5	68.199	0.7686755	0.0007273569	0.23017794	0.00041917694
1	76	5168	240	12.369	38.079	241.0	13.241	0.7306291	0.0012029373	0.26776198	0.0004060411
1	77	2762	199	7.762	31.894	160.0	75.964	0.6820273	0.008460908	0.3082471	0.0012647557
1	78	2500	191	14.0	15.0	169.0	90.0	0.6069528	0.00079942186	0.3920159	0.00023193158
1	79	2368	171	7.566	25.125	119.0	5.711	0.47592828	0.0072352383	0.5163957	0.00044084465
1	80	1907	96	11.0	16.0	127.0	90.0	0.32253537	0.0017878939	0.6733126	0.00236414
1	81	3749	53	24.824	47.151	762.0	55.713	0.24464945	0.018883616	0.7352181	0.0012487345
2	14	3082	2626	20.0	21.0	362.0	90.0	0.99994195	4.2102514e-05	1.0219692e-06	1.4860413e-05
2	20	3222	2460	31.0	33.0	827.0	90.0	0.99959904	0.0002650168	5.7812034e-05	7.815018e-05
2	21	4218	2430	14.0	17.0	193.5	90.0	0.99807703	0.0009635961	0.00087945897	7.9884696e-05
2	38	3220	1780	25.0	26.0	528.0	90.0	0.99997056	1.9591069e-05	1.2808138e-06	8.565825e-06
2	51	4144	1549	16.0	17.0	221.5	90.0	0.99928385	0.00037913182	0.0003339897	2.9730768e-06
2	64	2085	882	11.0	12.0	106.5	90.0	0.9974285	0.0005899086	0.0018645393	0.00011712444
2	68	2969	545	18.0	23.0	338.0	90.0	0.98103034	0.008123124	0.010807287	3.923442e-05
2	52	2268	1545	23.324	95.016	658.0	59.394	0.008262318	0.0015465764	0.70337015	0.2868209
2	65	2048	772	8.382	43.798	247.5	71.565	0.29391345	0.010306318	0.6950008	0.0007793083
2	12	3390	2741	18.742	50.717	729.5	80.538	0.01581945	0.98010236	0.00029238578	0.003785762
2	45	4316	1648	16.808	21.783	269.0	31.608	0.82426494	0.011479687	0.16360581	0.0006495404
2	2	3288	3007	20.0	20.0	352.0	90.0	0.9998661	9.919526e-05	6.2397653e-06	2.8405366e-05
2	16	1116	2550	29.0	32.0	743.0	90.0	0.99947506	0.00036831925	2.0157926e-05	0.00013653596
2	17	3111	2536	19.0	19.0	299.0	90.0	0.9999621	3.4135155e-05	4.3010408e-07	3.2675177e-06
2	36	1202	1863	10.0	14.0	113.5	90.0	0.7966133	0.0024782866	0.20061837	0.00028997686
2	54	4255	1380	22.0	32.0	542.0	90.0	0.91107476	0.088055156	0.00072246935	0.00014763908
2	39	313	1773	10.512	14.089	105.5	26.565	0.67872596	0.0005688986	0.3205712	0.0001340084
2	37	2879	1801	18.028	49.649	703.5	18.435	0.008239243	0.99023706	0.00018412338	0.0013395542
2	29	4291	2041	13.463	36.882	364.5	16.26	0.7834242	0.02047994	0.19507615	0.0010196902
2	81	3749	53	25.0	46.4	744.0	52.815	0.6740528	0.0013076707	0.32422385	0.0004157087
2	18	2352	2489	15.232	73.926	336.0	66.801	0.0013671059	0.0010558736	0.96073866	0.03683828
2	67	2820	646	33.956	38.079	997.5	75.964	0.99963844	0.00012514966	1.501871e-05	0.00022141449
2	30	171	2007	26.476	60.828	1194.5	80.538	0.21978047	0.7756911	0.00039752683	0.004130849
2	23	2975	2379	17.0	18.0	266.0	90.0	0.9999453	4.8784215e-05	4.6738649e-07	5.4057455e-06
2	46	1708	1657	19.526	49.023	777.5	87.879	0.06601708	0.8173846	0.0009393734	0.11565897
2	44	2030	1663	19.105	19.105	286.5	7.125	0.999383	0.0005953076	1.12534635e-05	1.0450629e-05
2	31	4021	1975	13.153	16.125	156.5	9.462	0.99611604	0.0011834671	0.0026256978	7.479e-05
2	53	3189	1491	32.0	33.0	837.0	90.0	0.9998932	6.0037055e-05	1.9589348e-05	2.7191305e-05
2	74	2177	270	27.0	31.0	661.0	90.0	0.33672154	0.65851074	0.0033942757	0.001373442
2	59	2070	1161	17.755	25.402	345.5	9.462	0.5307914	0.01534888	0.45299715	0.0008626546
2	4	513	2953	11.0	13.0	108.0	90.0	0.7811981	0.0026992268	0.21577887	0.00032385747
2	19	4884	2472	21.0	26.0	431.0	90.0	0.99638945	0.0012884864	0.0022868977	3.5176196e-05
2	28	2646	2066	26.575	27.281	505.5	41.186	0.9885816	0.0010565867	0.010292874	6.897095e-05
