Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	2236	2842	15.0	57.801	666.5	37.875	0.00030847327	0.000100090554	0.00015613995	0.18138348	0.04854506	0.76950675
21	1	3042	2435	15.572	41.067	505.5	41.987	0.012152964	9.609752e-05	0.002843932	0.0022959209	0.98173136	0.00087974843
21	2	1543	2388	18.974	28.46	410.0	71.565	0.21640332	0.0021623964	0.7429139	0.009124398	0.028651014	0.0007449532
21	3	3754	2354	13.463	29.887	297.5	73.301	0.0011468898	0.00025227448	0.91701764	0.02712465	0.054370813	8.773196e-05
21	4	3624	2337	17.219	25.269	325.0	26.565	0.004726191	0.0013585272	0.8514303	0.041377164	0.10086358	0.00024429726
21	5	3931	2151	14.0	30.0	341.0	90.0	0.14224932	0.0050201262	0.74544865	0.050636366	0.055905156	0.0007404072
21	6	4796	2155	25.456	26.87	540.5	45.0	0.6951981	0.010746613	0.11067832	0.09807452	0.047303826	0.037998658
21	7	1344	2012	26.87	55.154	1235.5	45.0	0.99970007	6.290539e-06	5.72688e-06	8.725602e-05	1.761186e-05	0.00018312379
21	8	734	1934	13.892	32.249	344.5	60.255	0.006138718	0.00056728	0.044735596	0.56072444	0.110009454	0.2778245
21	9	4238	1946	11.068	74.314	595.0	18.435	2.8606244e-08	1.5370123e-06	1.1247268e-07	0.00010242313	0.9994599	0.0004359992
21	10	3616	1888	14.089	64.626	683.0	62.819	2.078067e-05	3.8274906e-05	0.0002636386	0.05590224	0.9224064	0.021368729
21	11	4591	1672	18.0	30.0	419.0	90.0	0.6997668	0.00021853462	0.2404687	0.052800898	0.0057194107	0.0010256524
21	12	2602	1579	14.431	28.377	315.0	75.964	1.4881628e-06	1.9836341e-05	0.9797258	0.001679084	0.018571837	2.0285484e-06
21	13	5365	1579	18.125	45.437	597.0	23.962	0.0072398563	4.893726e-05	0.7167175	0.21499157	0.05986119	0.0011409749
21	14	37	1527	21.03	22.611	356.5	71.565	3.8415368e-05	0.000101669866	0.97928655	1.3331262e-05	0.020559812	2.583332e-07
21	15	1442	1508	12.349	29.841	271.5	30.964	0.0013902219	0.004147225	0.3283754	0.04421624	0.62109	0.00078092446
21	16	4518	1481	22.0	29.0	514.0	90.0	0.33519262	0.00025488698	0.6534161	0.0078050885	0.003116251	0.00021497632
21	17	2697	1472	23.265	143.785	2463.5	62.835	3.9063943e-09	2.2067433e-10	2.5360998e-12	6.026785e-10	1.6759314e-07	0.9999999
21	18	2435	1348	28.16	65.276	1581.0	84.56	0.9998386	7.6731695e-08	9.760105e-09	3.0995834e-05	1.2493386e-07	0.0001301677
21	19	2991	1312	9.22	79.624	502.0	11.31	3.1193909e-10	5.529413e-08	2.9497444e-09	1.9195884e-06	0.9999932	4.7432804e-06
21	20	1351	964	14.534	33.56	337.5	61.39	0.025345169	0.010091485	0.44000858	0.1804089	0.022877656	0.32126823
21	21	1754	500	27.226	51.974	1128.0	7.765	0.9999796	5.5818297e-09	2.9591322e-07	1.2991053e-05	1.9811058e-08	7.0860187e-06
21	22	4222	379	11.424	78.654	672.0	22.932	1.6122645e-05	1.2868838e-05	1.0105867e-05	0.004103848	0.68993795	0.30591908
21	23	3329	234	8.485	39.598	226.0	45.0	2.1857169e-07	6.1971477e-06	1.3947413e-05	9.643459e-05	0.99981433	6.884867e-05
21	24	2985	82	14.142	29.698	319.5	45.0	1.1688703e-05	1.895032e-05	0.95441234	0.030795053	0.0147496555	1.2287235e-05
22	23	3333	237	8.201	40.14	210.5	39.174	3.674496e-09	2.3023485e-07	2.5638336e-08	7.339562e-07	0.9999927	6.3220104e-06
22	6	4797	2161	25.456	26.173	525.5	45.0	0.0105692055	0.00061945687	0.98020226	0.0023996022	0.0036081122	0.0026014296
22	24	2979	78	12.728	28.32	284.5	42.274	0.000114802424	0.001729529	0.37797183	0.036906864	0.5824766	0.00080041704
22	10	3608	1887	14.577	64.347	651.0	67.479	9.893034e-06	4.427809e-05	0.00037814738	0.0027618771	0.99650806	0.00029765698
22	15	1449	1511	11.8	26.101	249.0	36.87	0.004142569	0.001189678	0.59193397	0.023612393	0.36666745	0.012453932
22	4	3630	2331	17.414	24.52	299.5	51.34	0.0001166142	0.0014199388	0.9771045	0.0011817018	0.020159625	1.7624288e-05
22	20	1354	970	14.151	27.042	272.5	56.31	0.00027662178	0.015291869	0.955859	0.0030239923	0.025418652	0.00012979822
22	8	726	1939	14.009	30.794	333.0	57.529	0.005928996	0.0016953292	0.091176875	0.707858	0.13731176	0.056028977
22	22	4213	374	11.63	77.674	670.0	23.962	1.802027e-05	8.495685e-06	4.614977e-06	0.00082150917	0.632242	0.3669053
22	16	4514	1472	26.163	26.163	533.0	45.0	0.6852373	6.594401e-05	0.305937	0.007851636	0.00051815785	0.00038991528
22	2	1545	2400	20.0	27.0	403.5	0.0	0.0012025277	0.00207729	0.9741125	0.0006913822	0.021806395	0.000109809385
22	9	4241	1934	11.236	74.5	573.0	20.095	7.2075754e-09	3.5004123e-07	7.08015e-09	9.3101135e-06	0.9996295	0.00036082588
22	19	2994	1300	9.22	80.281	494.5	13.627	2.503083e-10	3.21049e-08	6.505708e-09	1.4777088e-05	0.999979	6.153049e-06
22	5	3938	2149	22.627	24.759	338.0	45.0	0.003060654	0.00044958867	0.6597418	0.285364	0.041355703	0.010028198
22	1	3032	2428	15.403	43.729	480.5	38.66	0.00019075836	1.2779112e-05	0.02791256	0.10915448	0.8625947	0.00013470011
22	14	49	1519	20.0	22.0	313.0	90.0	0.0030795538	0.071112335	0.45501822	0.0004912867	0.470249	4.9689555e-05
22	0	2249	2849	15.0	56.613	649.0	36.027	0.00035707108	8.8176545e-05	0.0010517758	0.73065734	0.083156146	0.18468948
22	17	2710	1465	24.698	141.315	2449.5	59.123	3.0948546e-09	5.6027266e-11	1.1682152e-12	3.7672818e-10	2.5936535e-08	1.0
22	11	4597	1686	19.242	30.187	440.0	63.435	0.026632044	0.0005478109	0.9622156	0.0031996968	0.0043319156	0.0030730362
22	12	2615	1580	13.038	37.336	340.0	7.125	2.3663004e-05	0.00048390776	0.419844	0.36630884	0.213271	6.864771e-05
22	3	3750	2337	14.142	28.284	289.5	80.538	0.00025208297	2.2509024e-05	0.9930615	0.00051645876	0.0061410065	6.449977e-06
22	7	1356	2022	27.203	43.012	949.5	35.538	0.99712855	8.872167e-06	4.4751334e-05	0.0013865163	8.394882e-06	0.0014230337
22	13	5380	1546	18.358	44.294	612.0	28.301	0.023074646	0.00029077215	0.32869825	0.23534489	0.40987563	0.0027158172
22	21	1772	468	26.87	56.569	1268.5	45.0	0.9999039	1.897216e-08	3.9205647e-10	4.0013088e-06	1.6681138e-07	9.1912836e-05
22	18	2391	1354	28.862	63.063	1521.0	75.466	0.99876827	1.7734799e-07	1.6958455e-06	0.0005987559	1.7998447e-06	0.0006294027
23	15	1450	1511	12.806	25.612	235.5	38.66	0.00019562503	0.00028661345	0.7445412	0.004725324	0.25003812	0.00021308131
23	20	1356	972	13.314	27.042	272.5	56.31	0.00023002886	0.0026006703	0.73245984	0.15191774	0.11211151	0.0006801427
23	23	3337	239	7.906	40.921	220.0	35.134	5.0483826e-09	1.8086844e-07	1.8586223e-07	5.6366307e-06	0.99999285	1.1804028e-06
23	24	2975	76	14.142	26.87	279.5	45.0	9.37179e-05	0.00021280079	0.7169467	0.13022386	0.15235832	0.00016449289
23	5	3945	2146	19.416	27.659	331.0	12.529	0.00041563628	0.004489294	0.41392985	0.21688636	0.3617461	0.002532737
23	22	4206	369	11.18	79.158	658.0	26.095	9.912848e-06	2.3429343e-06	2.631613e-06	0.007055015	0.07914549	0.9137847
23	4	3638	2325	18.0	24.0	319.0	90.0	0.0067175045	0.0032040074	0.50733477	0.32402176	0.15827356	0.00044842233
23	10	3598	1887	14.08	64.041	661.0	72.474	0.00022591	0.0001522055	0.00045795337	0.01025898	0.98141176	0.0074932035
23	16	4507	1464	25.456	25.456	498.5	45.0	0.8338645	0.00015578624	0.16028209	0.00380876	0.0010916033	0.0007971354
23	6	4804	2171	25.456	26.87	531.0	45.0	0.06051926	0.08140203	0.5300596	0.004921549	0.07711676	0.24598086
23	1	3022	2424	16.401	42.012	502.5	37.875	0.0036365918	5.3986292e-05	0.00795174	0.037286315	0.9503378	0.00073349616
23	19	2997	1290	8.732	78.462	506.0	14.381	8.617643e-11	1.5523806e-08	1.4377807e-08	6.5280636e-07	0.99999905	2.3192126e-07
23	2	1545	2411	19.0	27.0	392.5	0.0	0.00030920358	0.00010506306	0.99837327	3.4106735e-05	0.0011390809	3.9279905e-05
