Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	1973	2357	12.728	57.385	569.5	41.186	0.0017120835	4.9642218e-05	3.746745e-05	0.18835111	0.29230705	0.51754266
21	1	1730	2335	13.865	57.976	599.5	23.962	3.478333e-06	1.1190765e-06	0.00028241135	0.95869255	0.040779397	0.00024096583
21	2	3138	2201	15.297	63.348	694.5	78.69	1.7220738e-05	1.8130837e-06	4.760803e-06	0.9430668	0.026570577	0.03033886
21	3	4067	2193	15.133	60.407	671.0	82.875	6.3312878e-06	4.4282715e-06	0.0031385387	0.9469345	0.049558777	0.00035746457
21	4	915	2089	12.971	62.388	569.0	63.435	1.8255486e-07	7.3621266e-07	0.0005830063	0.92205465	0.077324376	3.6956277e-05
21	5	4164	2071	14.637	57.959	644.5	79.509	0.00016840406	6.833605e-05	0.00019991462	0.61068106	0.35935867	0.02952367
21	6	5103	2076	15.882	61.735	723.0	61.928	3.5023994e-08	7.819294e-09	3.7456466e-05	0.99959964	0.00013933818	0.0002235132
21	7	3191	1412	14.603	65.125	701.0	51.34	3.1904975e-07	1.4900974e-07	3.4801546e-05	0.99610835	0.0021555074	0.0017008989
21	8	2966	653	14.866	63.246	709.0	71.565	1.3151057e-07	9.913745e-09	1.680534e-05	0.9997297	8.568487e-05	0.00016766736
21	9	251	265	22.627	66.468	1099.5	45.0	7.161261e-06	5.7865175e-09	6.214689e-08	0.8612043	4.2175736e-05	0.13874632
21	10	2037	122	14.866	62.29	691.5	41.987	5.4166105e-07	1.7662499e-08	1.4706752e-06	0.97907305	0.00056844496	0.020356467
22	1	1745	2343	14.318	58.181	610.0	24.444	1.2793025e-05	1.7362856e-07	2.021497e-05	0.9967253	0.0008537916	0.0023877486
22	6	5121	2066	16.125	64.14	765.5	59.036	9.087349e-08	2.923665e-09	4.067121e-05	0.9997149	2.061854e-05	0.00022363302
22	5	4186	2069	14.534	57.107	623.0	3.576	0.00012268273	3.420381e-05	6.9082525e-05	0.77890253	0.1408141	0.0800575
22	8	2941	659	14.431	63.547	698.5	75.964	2.785982e-05	8.481756e-06	0.0004598903	0.9774669	0.0050558248	0.016981082
22	3	4064	2167	15.033	60.531	679.0	82.875	4.917491e-07	1.7721938e-07	0.0061320807	0.99011946	0.0037070923	4.058585e-05
22	10	2019	141	14.142	59.397	661.5	45.0	2.3334867e-05	4.810444e-07	1.3865009e-05	0.9191333	0.00031078147	0.080518216
22	0	1954	2336	13.124	57.011	554.0	48.366	0.00039817306	1.5941541e-05	8.958886e-06	0.3477569	0.053994242	0.5978258
22	2	3166	2196	16.07	63.697	727.5	85.236	7.612944e-05	1.9098209e-06	3.198662e-06	0.94201356	0.044731356	0.013173894
22	7	3166	1426	14.841	63.547	697.5	57.995	4.4727395e-07	8.0422063e-07	8.471563e-05	0.9867107	0.010460835	0.0027424435
22	4	942	2077	12.083	62.65	583.0	66.038	2.118594e-06	6.5762088e-06	0.00015914395	0.81092083	0.18555507	0.0033562372
22	9	279	239	22.344	64.917	1083.5	49.399	4.2240925e-05	2.2910108e-08	3.328814e-08	0.7860001	6.620589e-05	0.21389142
23	1	1759	2351	14.327	57.064	602.5	28.61	4.724516e-06	4.986718e-07	5.0184917e-05	0.9770637	0.021198161	0.0016827503
23	5	4206	2073	14.577	58.039	617.0	22.62	2.0537661e-06	2.955094e-08	3.9979623e-05	0.99942255	0.00025702207	0.00027836204
23	6	5140	2055	15.652	66.189	757.5	63.435	6.312241e-08	1.6448853e-08	2.9676026e-05	0.9992162	0.0005160539	0.00023793666
23	8	2918	662	14.431	62.332	671.0	75.964	7.4290782e-09	2.1381834e-09	3.5651263e-07	0.9999418	6.177556e-06	5.1683655e-05
